Bangladesh,0,1,Hong_Kong,01/03/2006,Dhaka,Continental_Qualifier
Chinese_Taipei,0,4,Syria,01/03/2006,Taipei_City,Continental_Qualifier
Croatia,3,2,Argentina,01/03/2006,Basel,Friendly
Cyprus,2,0,Armenia,01/03/2006,Limassol,Friendly
England,2,1,Uruguay,01/03/2006,Liverpool,Friendly
FYR_Macedonia,0,1,Bulgaria,01/03/2006,Skopje,Friendly
Finland,2,2,Belarus,01/03/2006,Larnaca,Friendly,5,4,PSO
France,1,2,Slovakia,01/03/2006,Saint-Denis,Friendly
India,0,3,Yemen,01/03/2006,New_Delhi,Continental_Qualifier
IR_Iran,3,2,Costa_Rica,01/03/2006,Tehran,Friendly
Iraq,2,1,China_PR,01/03/2006,Al_Ain_City,Continental_Qualifier
Israel,0,2,Denmark,01/03/2006,Tel_Aviv,Friendly
Italy,4,1,Germany,01/03/2006,Florence,Friendly
Kazakhstan,0,2,Greece,01/03/2006,Nicosia,Friendly
Korea_Republic,1,0,Angola,01/03/2006,Seoul,Friendly
Kuwait,0,0,Bahrain,01/03/2006,Kuwait_City,Continental_Qualifier
Luxembourg,0,2,Belgium,01/03/2006,Luxembourg,Friendly
Malta,0,2,Georgia,01/03/2006,Ta'Qali,Friendly
Mexico,1,0,Ghana,01/03/2006,Frisco,Friendly
Netherlands,1,0,Ecuador,01/03/2006,Amsterdam,Friendly
Northern_Ireland,1,0,Estonia,01/03/2006,Belfast,Friendly
Oman,3,0,Jordan,01/03/2006,Muscat,Continental_Qualifier
Pakistan,1,4,United_Arab_Emirates,01/03/2006,Karachi,Continental_Qualifier
Palestine,1,0,Singapore,01/03/2006,Amman,Continental_Qualifier
Qatar,2,1,Uzbekistan,01/03/2006,Doha,Continental_Qualifier
Republic_of_Ireland,3,0,Sweden,01/03/2006,Dublin,Friendly
Russia,0,1,Brazil,01/03/2006,Moscow,Friendly
Saudi_Arabia,0,3,Portugal,01/03/2006,DüSseldorf,Friendly
Scotland,1,3,Switzerland,01/03/2006,Glasgow,Friendly
Senegal,2,1,Norway,01/03/2006,Dakar,Friendly
Slovenia,0,2,Romania,01/03/2006,Larnaca,Friendly
Spain,3,2,Côte_d'Ivoire,01/03/2006,Valladolid,Friendly
Tunisia,0,1,Serbia_and_Montenegro,01/03/2006,Rades,Friendly
Turkey,2,2,Czech_Republic,01/03/2006,Izmir,Friendly
USA,1,0,Poland,01/03/2006,Kaiserslautern,Friendly
Venezuela,1,1,Colombia,01/03/2006,Maracaibo,Friendly
Wales,0,0,Paraguay,01/03/2006,Cardiff,Friendly
Equatorial_Guinea,2,1,Congo,04/03/2006,Bata,Friendly
Equatorial_Guinea,1,1,Chad,06/03/2006,Bata,Friendly
Central_African_Republic,2,2,Gabon,08/03/2006,Malabo,Friendly
Chad,0,0,Congo,08/03/2006,Bata,Friendly
Equatorial_Guinea,0,0,Gabon,11/03/2006,Bata,Friendly,4,2,PSO
Chad,2,2,Gabon,14/03/2006,Bata,Friendly,6,7,PSO
Saudi_Arabia,2,2,Iraq,15/03/2006,Jeddah,Friendly
Albania,0,0,Georgia,22/03/2006,Tirana,Friendly
Germany,4,1,USA,22/03/2006,Dortmund,Friendly
Thailand,5,0,Philippines,26/03/2006,Chonburi,Friendly
Saudi_Arabia,1,2,Poland,28/03/2006,Riyadh,Friendly
Equatorial_Guinea,2,0,Benin,29/03/2006,Bata,Friendly
Mexico,2,1,Paraguay,29/03/2006,Chicago,Friendly
Japan,1,0,Ecuador,30/03/2006,Oita,Friendly
Bangladesh,2,1,Cambodia,01/04/2006,Dhaka,Friendly
Chinese_Taipei,1,0,Philippines,01/04/2006,Chittagong,Friendly
Palestine,11,0,Guam,01/04/2006,Dhaka,Friendly
Kyrgyz_Republic,0,1,Pakistan,02/04/2006,Dhaka,Friendly
Nepal,2,0,Bhutan,02/04/2006,Chittagong,Friendly
Sri_Lanka,1,0,Brunei_Darussalam,02/04/2006,Chittagong,Friendly
Tajikistan,4,0,Macau,02/04/2006,Dhaka,Friendly
Afghanistan,2,2,Chinese_Taipei,03/04/2006,Chittagong,Friendly
Cambodia,0,4,Palestine,03/04/2006,Dhaka,Friendly
Guam,0,3,Bangladesh,03/04/2006,Dhaka,Friendly
Bhutan,0,1,Sri_Lanka,04/04/2006,Chittagong,Friendly
Brunei_Darussalam,2,1,Nepal,04/04/2006,Chittagong,Friendly
Pakistan,0,2,Tajikistan,04/04/2006,Dhaka,Friendly
Palestine,1,1,Bangladesh,05/04/2006,Dhaka,Friendly
Philippines,1,1,Afghanistan,05/04/2006,Chittagong,Friendly
Bhutan,0,0,Brunei_Darussalam,06/04/2006,Chittagong,Friendly
Cambodia,3,0,Guam,06/04/2006,Dhaka,Friendly
Pakistan,2,2,Macau,06/04/2006,Dhaka,Friendly
Sri_Lanka,1,1,Nepal,06/04/2006,Chittagong,Friendly
Tajikistan,0,1,Kyrgyz_Republic,06/04/2006,Dhaka,Friendly
Macau,0,2,Kyrgyz_Republic,07/04/2006,Dhaka,Friendly
Sri_Lanka,3,0,Chinese_Taipei,08/04/2006,Chittagong,Friendly
Palestine,0,1,Kyrgyz_Republic,09/04/2006,Dhaka,Friendly
Tajikistan,6,1,Bangladesh,10/04/2006,Dhaka,Friendly
USA,1,1,Jamaica,11/04/2006,Cary,Friendly
Azerbaijan,1,1,Turkey,12/04/2006,Baku,Friendly
Sri_Lanka,1,1,Nepal,12/04/2006,Chittagong,Friendly,5,3,PSO
Tajikistan,2,0,Kyrgyz_Republic,13/04/2006,Dhaka,Friendly
Lesotho,5,0,Swaziland,14/04/2006,Maseru,Friendly
Lesotho,2,2,Swaziland,16/04/2006,Maseru,Friendly
Sri_Lanka,0,4,Tajikistan,16/04/2006,Dhaka,Friendly
Chile,4,1,New_Zealand,25/04/2006,Rancagua,Friendly
Chile,1,0,New_Zealand,27/04/2006,La_Calera,Friendly
Angola,5,1,Mauritius,29/04/2006,Maseru,Friendly
Lesotho,0,0,Mozambique,29/04/2006,Maseru,Friendly,5,4,PSO
Lesotho,1,3,Angola,30/04/2006,Maseru,Friendly
Mauritius,0,0,Mozambique,30/04/2006,Maseru,Friendly,4,5,PSO
Poland,0,1,Lithuania,02/05/2006,Belchatow,Friendly
United_Arab_Emirates,2,1,Syria,02/05/2006,Dubai,Friendly
Venezuela,0,1,Mexico,05/05/2006,Pasadena,Friendly
Japan,1,2,Bulgaria,09/05/2006,Osaka,Friendly
Lesotho,0,0,South_Africa,10/05/2006,Maseru,Friendly
Trinidad_and_Tobago,1,1,Peru,10/05/2006,Port_Of_Spain,Friendly
Belgium,2,1,Saudi_Arabia,11/05/2006,Sittard,Friendly
Scotland,5,1,Bulgaria,11/05/2006,Kobe,Friendly
Mexico,2,1,Congo_DR,12/05/2006,Mexico_City,Friendly
Japan,0,0,Scotland,13/05/2006,Saitama,Friendly
Botswana,0,0,Zambia,14/05/2006,Gaborone,Friendly,5,4,PSO
Poland,4,0,Faroe_Islands,14/05/2006,Wronki,Friendly
Saudi_Arabia,1,0,Togo,14/05/2006,Sittard,Friendly
Moldova,0,0,Azerbaijan,18/05/2006,Chisinau,Friendly
Botswana,2,0,Madagascar,20/05/2006,Gaborone,Friendly
Slovakia,1,1,Belgium,20/05/2006,Trnava,Friendly
South_Africa,1,0,Swaziland,20/05/2006,Gaborone,Friendly
Botswana,0,0,South_Africa,21/05/2006,Gaborone,Friendly,5,4,PSO
Madagascar,0,2,Swaziland,21/05/2006,Gaborone,Friendly
Northern_Ireland,0,1,Uruguay,21/05/2006,New_York/New_Jersey,Friendly
Austria,1,4,Croatia,23/05/2006,Vienna,Friendly
Korea_Republic,1,1,Senegal,23/05/2006,Seoul,Friendly
Romania,0,2,Uruguay,23/05/2006,Los_Angeles,Friendly
USA,0,1,Morocco,23/05/2006,Nashville,Friendly
Belgium,3,3,Turkey,24/05/2006,Genk,Friendly
Ecuador,1,1,Colombia,24/05/2006,New_York/New_Jersey,Friendly
Hungary,2,0,New_Zealand,24/05/2006,Budapest,Friendly
Norway,2,2,Paraguay,24/05/2006,Oslo,Friendly
Republic_of_Ireland,0,1,Chile,24/05/2006,Dublin,Friendly
Australia,1,0,Greece,25/05/2006,Melbourne,Friendly
Sweden,0,0,Finland,25/05/2006,Gothenburg,Friendly
Korea_Republic,2,0,Bosnia_and_Herzegovina,26/05/2006,Seoul,Friendly
Romania,2,0,Northern_Ireland,26/05/2006,Chicago,Friendly
Saudi_Arabia,0,2,Czech_Republic,26/05/2006,Innsbruck,Friendly
