Sport,Event,Competition,Gender,Athlete,Country,Place Finish
Curling,Team,Canadian Beef Masters of Curling,Men,Bruce Mouat,SCO,2
Curling,Team,Canadian Beef Masters of Curling,Men,Matt Dunstone,CAN,5
Curling,Team,Canadian Beef Masters of Curling,Men,Yannick Schwaller,SUI,9
Curling,Team,Canadian Beef Masters of Curling,Men,Glenn Howard,CAN,9
Curling,Team,Canadian Beef Masters of Curling,Men,Jamie Murphy,CAN,9
Curling,Team,Canadian Beef Masters of Curling,Men,Kevin Koe,CAN,3
Curling,Team,Canadian Beef Masters of Curling,Men,John Epping,CAN,3
Curling,Team,Canadian Beef Masters of Curling,Men,Brad Gushue,CAN,9
Curling,Team,Canadian Beef Masters of Curling,Men,Niklas Edin,SWE,1
Curling,Team,Canadian Beef Masters of Curling,Men,Jason Gunnlaugson,CAN,9
Curling,Team,Canadian Beef Masters of Curling,Men,Reid Carruthers,CAN,9
Curling,Team,Canadian Beef Masters of Curling,Men,Ross Paterson,SCO,9
Curling,Team,Canadian Beef Masters of Curling,Men,Steffen Walstad,NOR,9
Curling,Team,Canadian Beef Masters of Curling,Men,John Shuster,USA,9
Curling,Team,GSOC Tour Challenge Tier 1,Women,Rachel Homan,CAN,3
Curling,Team,GSOC Tour Challenge Tier 1,Women,Tracy Fleury,CAN,3
Curling,Team,GSOC Tour Challenge Tier 1,Women,Isabella Wrana,SWE,9
Curling,Team,GSOC Tour Challenge Tier 1,Women,Cory Christensen,USA,9
Curling,Team,GSOC Tour Challenge Tier 1,Women,Jennifer Jones,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Women,Allison Flaxey,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Women,Casey Scheidegger,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Women,Chelsea Carey,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Women,Jamie Sinclair,USA,9
Curling,Team,GSOC Tour Challenge Tier 1,Women,Krista McCarville,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Women,Nina Roth,USA,2
Curling,Team,GSOC Tour Challenge Tier 1,Women,Laura Walker,CAN,5
Curling,Team,GSOC Tour Challenge Tier 1,Women,Darcy Robertson,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Women,Silvana Tirinzoni,SUI,9
Curling,Team,GSOC Tour Challenge Tier 1,Women,Kerri Einarson,CAN,1
Curling,Team,GSOC Tour Challenge Tier 1,Men,Rich Ruohonen,USA,5
Curling,Team,GSOC Tour Challenge Tier 1,Men,Brad Jacobs,CAN,1
Curling,Team,GSOC Tour Challenge Tier 1,Men,Matt Dunstone,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Men,Brendan Bottcher,CAN,2
Curling,Team,GSOC Tour Challenge Tier 1,Men,Glenn Howard,CAN,3
Curling,Team,GSOC Tour Challenge Tier 1,Men,Peter De Cruz,SUI,3
Curling,Team,GSOC Tour Challenge Tier 1,Men,Kevin Koe,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Men,John Epping,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Men,Brad Gushue,CAN,5
Curling,Team,GSOC Tour Challenge Tier 1,Men,Niklas Edin,SWE,9
Curling,Team,GSOC Tour Challenge Tier 1,Men,Jason Gunnlaugson,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Men,Reid Carruthers,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Men,Ross Paterson,SCO,9
Curling,Team,GSOC Tour Challenge Tier 1,Men,Braden Calvert,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Men,John Shuster,USA,5
Curling,Team,Boost National,Women,Rachel Homan,CAN,3
Curling,Team,Boost National,Women,Tracy Fleury,CAN,9
Curling,Team,Boost National,Women,Isabella Wrana,SWE,9
Curling,Team,Boost National,Women,Jennifer Jones,CAN,9
Curling,Team,Boost National,Women,Jamie Sinclair,USA,9
Curling,Team,Boost National,Women,Anna Hasselborg,SWE,5
Curling,Team,Boost National,Women,Nina Roth,USA,9
Curling,Team,Boost National,Women,Sayaka Yoshimura,JPN,9
Curling,Team,Boost National,Women,Chelsea Carey,CAN,9
Curling,Team,Boost National,Women,Satsuki Fujisawa,JPN,9
Curling,Team,Boost National,Women,Eve Muirhead,SCO,1
Curling,Team,Boost National,Women,Jacqueline Harrison,CAN,9
Curling,Team,Boost National,Women,Silvana Tirinzoni,SUI,2
Curling,Team,Boost National,Women,Casey Scheidegger,CAN,9
Curling,Team,Boost National,Women,Kerri Einarson,CAN,3
Curling,Team,Boost National,Men,Brad Jacobs,CAN,9
Curling,Team,Boost National,Men,Mike McEwen,,9
Curling,Team,Boost National,Men,Yannick Schwaller,SUI,9
Curling,Team,Boost National,Men,Glenn Howard,CAN,3
Curling,Team,Boost National,Men,Scott McDonald,CAN,9
Curling,Team,Boost National,Men,Peter De Cruz,SUI,9
Curling,Team,Boost National,Men,Kevin Koe,CAN,2
Curling,Team,Boost National,Men,John Epping,CAN,9
Curling,Team,Boost National,Men,Brad Gushue,CAN,5
Curling,Team,Boost National,Men,Niklas Edin,SWE,1
Curling,Team,Boost National,Men,Bruce Mouat,SCO,3
Curling,Team,Boost National,Men,Jason Gunnlaugson,CAN,9
Curling,Team,Boost National,Men,Ross Paterson,SCO,5
Curling,Team,Boost National,Men,Braden Calvert,CAN,9
Curling,Team,Boost National,Men,Kirk Muyres,CAN,9
Curling,Team,Meridian Canadian Open,Women,Rachel Homan,,9
Curling,Team,Meridian Canadian Open,Women,Tracy Fleury,,9
Curling,Team,Meridian Canadian Open,Women,Isabella Wrana,,9
Curling,Team,Meridian Canadian Open,Women,Jennifer Jones,,9
Curling,Team,Meridian Canadian Open,Women,Anna Hasselborg,,9
Curling,Team,Meridian Canadian Open,Women,Nina Roth,,9
Curling,Team,Meridian Canadian Open,Women,Chelsea Carey,,9
Curling,Team,Meridian Canadian Open,Women,Satsuki Fujisawa,,9
Curling,Team,Meridian Canadian Open,Women,Eve Muirhead,,9
Curling,Team,Meridian Canadian Open,Women,Robyn Silvernagle,,9
Curling,Team,Meridian Canadian Open,Women,Elena Stern,,9
Curling,Team,Meridian Canadian Open,Women,Laura Walker,,9
Curling,Team,Meridian Canadian Open,Women,Darcy Robertson,,9
Curling,Team,Meridian Canadian Open,Women,Silvana Tirinzoni,,9
Curling,Team,Meridian Canadian Open,Women,Casey Scheidegger,,9
Curling,Team,Meridian Canadian Open,Women,Kerri Einarson,,9
Curling,Team,Meridian Canadian Open,Men,Brad Jacobs,,9
Curling,Team,Meridian Canadian Open,Men,Bruce Mouat,,9
Curling,Team,Meridian Canadian Open,Men,Matt Dunstone,,9
Curling,Team,Meridian Canadian Open,Men,Brendan Bottcher,,9
Curling,Team,Meridian Canadian Open,Men,Glenn Howard,,9
Curling,Team,Meridian Canadian Open,Men,Scott McDonald,,9
Curling,Team,Meridian Canadian Open,Men,Peter De Cruz,,9
Curling,Team,Meridian Canadian Open,Men,Kevin Koe,,9
Curling,Team,Meridian Canadian Open,Men,John Epping,,9
Curling,Team,Meridian Canadian Open,Men,Brad Gushue,,9
Curling,Team,Meridian Canadian Open,Men,Niklas Edin,,9
Curling,Team,Meridian Canadian Open,Men,Jason Gunnlaugson,,9
Curling,Team,Meridian Canadian Open,Men,Reid Carruthers,,9
Curling,Team,Meridian Canadian Open,Men,Braden Calvert,,9
Curling,Team,Meridian Canadian Open,Men,Kirk Muyres,,9
Curling,Team,Meridian Canadian Open,Men,Rylan Kleiter,,9
Curling,Team,GSOC Tour Challenge Tier 1,Women,Rachel Homan,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Women,Tracy Fleury,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Women,Jennifer Jones,CAN,1
Curling,Team,GSOC Tour Challenge Tier 1,Women,Allison Flaxey,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Women,Anna Hasselborg,SWE,5
Curling,Team,GSOC Tour Challenge Tier 1,Women,Eve Muirhead,SCO,3
Curling,Team,GSOC Tour Challenge Tier 1,Women,Bingyu Wang,CHN,9
Curling,Team,GSOC Tour Challenge Tier 1,Women,Sherry Middaugh,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Women,Julie Tippin,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Women,Val Sweeting,CAN,3
Curling,Team,GSOC Tour Challenge Tier 1,Women,Jacqueline Harrison,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Women,Silvana Tirinzoni,SUI,2
Curling,Team,GSOC Tour Challenge Tier 1,Women,Alina Paetz,SUI,5
Curling,Team,GSOC Tour Challenge Tier 1,Women,Casey Scheidegger,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Women,Michelle Englot,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Men,Brad Jacobs,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Men,Heath McCormick,USA,9
Curling,Team,GSOC Tour Challenge Tier 1,Men,Glenn Howard,CAN,9
Curling,Team,GSOC Tour Challenge Tier 1,Men,Kyle Smith,SCO,9
Curling,Team,GSOC Tour Challenge Tier 1,Men,Peter De Cruz,SUI,9
