Competition Name,Sport Name,Event (Weight Category),Gender,Match Date,Athlete 1 Name,Athlete 1 Country,Result 1,Result Value 1,Athlete 2 Name,Athlete 2 Country,Result 2,Result Value 2
Boost National,Curling,Team,Women,11/14/17,Jennifer Jones,CAN,WON,7,Alina Paetz,SUI,LOST,0
Boost National,Curling,Team,Women,11/14/17,Allison Flaxey,CAN,LOST,3,Bingyu Wang,CHN,WON,6
Boost National,Curling,Team,Women,11/14/17,Rachel Homan,CAN,LOST,4,Tracy Fleury,CAN,WON,5
Boost National,Curling,Team,Women,11/15/17,Julie Tippin,CAN,WON,6,Kelsey Rocque,CAN,LOST,4
Boost National,Curling,Team,Women,11/15/17,Jacqueline Harrison,CAN,WON,7,Michelle Englot,CAN,LOST,4
Boost National,Curling,Team,Women,11/15/17,Chelsea Carey,CAN,LOST,4,Binia Feltscher,SUI,WON,6
Boost National,Curling,Team,Women,11/15/17,Alina Paetz,SUI,LOST,2,Casey Scheidegger,CAN,WON,7
Boost National,Curling,Team,Women,11/15/17,Tracy Fleury,CAN,WON,8,Kerri Einarson,CAN,LOST,5
Boost National,Curling,Team,Women,11/15/17,Bingyu Wang,CHN,LOST,3,Chelsea Carey,CAN,WON,7
Boost National,Curling,Team,Women,11/15/17,Rachel Homan,CAN,WON,8,Jacqueline Harrison,CAN,LOST,4
Boost National,Curling,Team,Women,11/15/17,Allison Flaxey,CAN,LOST,2,Val Sweeting,CAN,WON,3
Boost National,Curling,Team,Women,11/15/17,Jennifer Jones,CAN,WON,7,Kelsey Rocque,CAN,LOST,3
Boost National,Curling,Team,Women,11/15/17,Kerri Einarson,CAN,LOST,6,Michelle Englot,CAN,WON,8
Boost National,Curling,Team,Women,11/16/17,Binia Feltscher,SUI,LOST,3,Allison Flaxey,CAN,WON,6
Boost National,Curling,Team,Women,11/16/17,Alina Paetz,SUI,WON,7,Kelsey Rocque,CAN,LOST,4
Boost National,Curling,Team,Women,11/16/17,Julie Tippin,CAN,LOST,4,Casey Scheidegger,CAN,WON,7
Boost National,Curling,Team,Women,11/16/17,Jacqueline Harrison,CAN,LOST,5,Tracy Fleury,CAN,WON,7
Boost National,Curling,Team,Women,11/16/17,Val Sweeting,CAN,WON,8,Bingyu Wang,CHN,LOST,4
Boost National,Curling,Team,Women,11/16/17,Tracy Fleury,CAN,WON,7,Michelle Englot,CAN,LOST,4
Boost National,Curling,Team,Women,11/16/17,Rachel Homan,CAN,WON,8,Kerri Einarson,CAN,LOST,1
Boost National,Curling,Team,Women,11/16/17,Val Sweeting,CAN,WON,8,Chelsea Carey,CAN,LOST,0
Boost National,Curling,Team,Women,11/16/17,Jennifer Jones,CAN,WON,6,Julie Tippin,CAN,LOST,3
Boost National,Curling,Team,Women,11/16/17,Kelsey Rocque,CAN,LOST,6,Casey Scheidegger,CAN,WON,7
Boost National,Curling,Team,Women,11/17/17,Binia Feltscher,SUI,WON,5,Bingyu Wang,CHN,LOST,4
Boost National,Curling,Team,Women,11/17/17,Jacqueline Harrison,CAN,LOST,6,Kerri Einarson,CAN,WON,7
Boost National,Curling,Team,Women,11/17/17,Alina Paetz,SUI,WON,9,Julie Tippin,CAN,LOST,7
Boost National,Curling,Team,Women,11/17/17,Jennifer Jones,CAN,WON,8,Casey Scheidegger,CAN,LOST,4
Boost National,Curling,Team,Women,11/17/17,Rachel Homan,CAN,WON,6,Michelle Englot,CAN,LOST,5
Boost National,Curling,Team,Women,11/17/17,Chelsea Carey,CAN,WON,11,Allison Flaxey,CAN,LOST,5
Boost National,Curling,Team,Women,11/18/17,Tracy Fleury,CAN,WON,9,Binia Feltscher,SUI,LOST,3
Boost National,Curling,Team,Women,11/18/17,Rachel Homan,CAN,LOST,4,Casey Scheidegger,CAN,WON,7
Boost National,Curling,Team,Women,11/18/17,Jennifer Jones,CAN,WON,7,Alina Paetz,SUI,LOST,4
Boost National,Curling,Team,Women,11/18/17,Val Sweeting,CAN,LOST,3,Chelsea Carey,CAN,WON,5
Boost National,Curling,Team,Women,11/18/17,Tracy Fleury,CAN,LOST,4,Casey Scheidegger,CAN,WON,7
Boost National,Curling,Team,Women,11/18/17,Jennifer Jones,CAN,WON,6,Chelsea Carey,CAN,LOST,5
Boost National,Curling,Team,Women,11/19/17,Casey Scheidegger,CAN,LOST,7,Jennifer Jones,CAN,WON,8
Meridian Canadian Open,Curling,Team,Men,1/16/18,Brad Gushue,CAN,WON,9,Chang-Min Kim,KOR,LOST,4
Meridian Canadian Open,Curling,Team,Men,1/16/18,Thomas Ulsrud,NOR,LOST,3,Peter De Cruz,SUI,WON,6
Meridian Canadian Open,Curling,Team,Men,1/16/18,Brad Jacobs,CAN,WON,7,Rui Liu,CHN,LOST,3
Meridian Canadian Open,Curling,Team,Men,1/16/18,Mike McEwen,CAN,WON,6,Team Bottcher,CAN,LOST,2
Meridian Canadian Open,Curling,Team,Men,1/16/18,Niklas Edin,SWE,LOST,6,John Shuster,USA,WON,7
Meridian Canadian Open,Curling,Team,Men,1/16/18,John Epping,CAN,WON,5,John Morris,CAN,LOST,3
Meridian Canadian Open,Curling,Team,Men,1/17/18,Reid Carruthers,CAN,LOST,3,Jason Gunnlaugson,CAN,WON,9
Meridian Canadian Open,Curling,Team,Men,1/17/18,Chang-Min Kim,KOR,LOST,2,Thomas Ulsrud,NOR,WON,5
Meridian Canadian Open,Curling,Team,Men,1/17/18,Kevin Koe,CAN,LOST,4,Bruce Mouat,SCO,WON,6
Meridian Canadian Open,Curling,Team,Men,1/17/18,Rui Liu,CHN,LOST,3,Team Bottcher,CAN,WON,6
Meridian Canadian Open,Curling,Team,Men,1/17/18,Niklas Edin,SWE,WON,7,John Morris,CAN,LOST,4
Meridian Canadian Open,Curling,Team,Men,1/17/18,Brad Gushue,CAN,LOST,3,Peter De Cruz,SUI,WON,5
Meridian Canadian Open,Curling,Team,Men,1/17/18,John Shuster,USA,LOST,5,John Epping,CAN,WON,6
Meridian Canadian Open,Curling,Team,Men,1/17/18,Brad Jacobs,CAN,WON,7,Mike McEwen,CAN,LOST,3
Meridian Canadian Open,Curling,Team,Men,1/17/18,Bruce Mouat,SCO,LOST,4,Jason Gunnlaugson,CAN,WON,6
Meridian Canadian Open,Curling,Team,Men,1/18/18,Kevin Koe,CAN,LOST,6,Reid Carruthers,CAN,WON,7
Meridian Canadian Open,Curling,Team,Men,1/18/18,Thomas Ulsrud,NOR,LOST,2,Team Bottcher,CAN,WON,5
